lr-Adam,step,train_loss_step,epoch,train_loss_epoch,val_loss,val_f1,val_acc
0.001,0,,,,,,
,49,364.033935546875,0,,,,
,99,252.61441040039062,0,,,,
,149,167.65301513671875,0,,,,
,199,107.20370483398438,0,,,,
,249,72.31141662597656,0,,,,
,299,23.843387603759766,0,,,,
,349,-21.198591232299805,0,,,,
,399,-60.38022994995117,0,,,,
,449,-65.23896789550781,0,,,,
,499,-70.85482025146484,0,,,,
,549,-73.0528564453125,0,,,,
,599,-76.76741027832031,0,,,,
,649,-84.83662414550781,0,,,,
,699,-85.23246765136719,0,,,,
,749,-83.15222930908203,0,,,,
,799,-89.2369155883789,0,,,,
,849,-88.60486602783203,0,,,,
,899,-85.81405639648438,0,,,,
,949,-88.19020080566406,0,,,,
,999,-93.2939453125,0,,,,
,1018,,0,8.642234802246094,,,
,1018,,0,,-86.06983947753906,0.9781693342584323,0.9771551378493596
0.001,1019,,,,,,
,1049,-86.92356872558594,1,,,,
,1099,-91.79026794433594,1,,,,
,1149,-82.68189239501953,1,,,,
,1199,-84.75835418701172,1,,,,
,1249,-83.49102020263672,1,,,,
,1299,-87.01646423339844,1,,,,
,1349,-94.80978393554688,1,,,,
,1399,-90.21550750732422,1,,,,
,1449,-93.33084106445312,1,,,,
,1499,-90.57453918457031,1,,,,
,1549,-88.12339782714844,1,,,,
,1599,-94.653076171875,1,,,,
,1649,-98.1616439819336,1,,,,
,1699,-87.07034301757812,1,,,,
,1749,-92.5731430053711,1,,,,
,1799,-92.628173828125,1,,,,
,1849,-88.44676208496094,1,,,,
,1899,-90.46968078613281,1,,,,
,1949,-91.52897644042969,1,,,,
,1999,-94.15259552001953,1,,,,
,2037,,1,-90.37191772460938,,,
,2037,,1,,-90.59548950195312,0.9878503528566114,0.9876591289405579
0.001,2038,,,,,,
,2049,-92.65226745605469,2,,,,
,2099,-92.49034118652344,2,,,,
,2149,-92.81491088867188,2,,,,
,2199,-89.9562759399414,2,,,,
,2249,-89.6111831665039,2,,,,
,2299,-92.27511596679688,2,,,,
,2349,-93.2358169555664,2,,,,
,2399,-93.95018005371094,2,,,,
,2449,-92.33055114746094,2,,,,
,2499,-92.9259033203125,2,,,,
,2549,-91.60275268554688,2,,,,
,2599,-93.48374938964844,2,,,,
,2649,-93.85475158691406,2,,,,
,2699,-88.03904724121094,2,,,,
,2749,-93.5234603881836,2,,,,
,2799,-93.82110595703125,2,,,,
,2849,-92.64191436767578,2,,,,
,2899,-94.20507049560547,2,,,,
,2949,-87.62405395507812,2,,,,
,2999,-96.60446166992188,2,,,,
,3049,-91.68399810791016,2,,,,
,3056,,2,-91.7313232421875,,,
,3056,,2,,-91.33274841308594,0.9891724778580758,0.9890317609797538
0.001,3057,,,,,,
,3099,-90.6418228149414,3,,,,
,3149,-91.90257263183594,3,,,,
,3199,-91.57865905761719,3,,,,
,3249,-93.794921875,3,,,,
,3299,-91.70478820800781,3,,,,
,3349,-97.07872009277344,3,,,,
,3399,-91.76194763183594,3,,,,
,3449,-89.83290100097656,3,,,,
,3499,-91.27654266357422,3,,,,
,3549,-94.8802719116211,3,,,,
,3599,-90.92475891113281,3,,,,
,3649,-94.77774047851562,3,,,,
,3699,-91.30192565917969,3,,,,
,3749,-88.08657836914062,3,,,,
,3799,-92.04705810546875,3,,,,
,3849,-93.72431945800781,3,,,,
,3899,-88.17337036132812,3,,,,
,3949,-97.48663330078125,3,,,,
,3999,-92.6787109375,3,,,,
,4049,-97.9072265625,3,,,,
,4075,,3,-92.34660339355469,,,
,4075,,3,,-92.15631866455078,0.9913293476545683,0.9912692491382399
0.001,4076,,,,,,
,4099,-93.10273742675781,4,,,,
,4149,-95.84394836425781,4,,,,
,4199,-90.36581420898438,4,,,,
,4249,-92.35845947265625,4,,,,
,4299,-92.51913452148438,4,,,,
,4349,-91.62857055664062,4,,,,
,4399,-95.38743591308594,4,,,,
,4449,-94.42752075195312,4,,,,
,4499,-92.15980529785156,4,,,,
,4549,-94.52053833007812,4,,,,
,4599,-92.23677062988281,4,,,,
,4649,-90.75550842285156,4,,,,
,4699,-89.61680603027344,4,,,,
,4749,-92.23263549804688,4,,,,
,4799,-90.56399536132812,4,,,,
,4849,-92.6036148071289,4,,,,
,4899,-95.53640747070312,4,,,,
,4949,-91.94284057617188,4,,,,
,4999,-93.154541015625,4,,,,
,5049,-92.47679138183594,4,,,,
,5094,,4,-92.56354522705078,,,
,5094,,4,,-91.66000366210938,0.9913461022291812,0.9912698632329576
0.001,5095,,,,,,
,5099,-94.67932891845703,5,,,,
,5149,-90.87982940673828,5,,,,
,5199,-94.28166961669922,5,,,,
,5249,-93.53123474121094,5,,,,
,5299,-94.30575561523438,5,,,,
